Item,Frequency,Pronunciation
appendage,0.41,AH P EH N D IH JH
appendix,2.61,AH P EH N D IH K S
appetite,8.94,AE P AH T AY T
appetizing,0.63,AE P IH T AY Z IH NG
applaud,2.14,AH P L AO D
applause,11.29,AH P L AO Z
apple,23.67,AE P AH L
applejack,0.57,AE P AH L JH AE K
appliance,0.8,AH P L AY IH N S
applicability,0.04,AE P L IH K AH B IH L IH T IY
applicable,0.27,AE P L IH K AH B AH L
applicant,0.61,AE P L IH K IH N T
application,10,AE P L IH K EY SH IH N
applicator,0.2,AE P L AH K EY T AH R
apply,12.51,AH P L AY
appoint,2.04,AH P OY N T
appointee,0.08,AH P OY N T IY
appointment,30.57,AH P OY N T M AH N T
appraisal,0.76,AH P R EY Z AH L
appraise,0.2,AH P R EY Z
appraiser,0.22,AH P R EY Z AH R
appreciable,0.06,AH P R IY SH AH B AH L
appreciably,0.02,AH P R IY SH AH B L IY
appreciate,85.75,AH P R IY SH IY EY T
appreciation,5.12,AH P R IY SH IY EY SH AH N
appreciative,0.8,AH P R IY SH IH T IH V
apprehend,1.43,AE P R EH HH EH N D
apprehension,0.76,AE P R IH HH EH N SH AH N
apprentice,1.94,AH P R EH N T IH S
apprenticeship,0.14,AH P R EH N T AH S SH IH P
approach,20.98,AH P R OW CH
approachable,0.08,AH P R OW CH AH B AH L
appropriate,12.88,AH P R OW P R IY AH T
appropriately,1.08,AH P R OW P R IY IH T L IY
appropriateness,0.04,AH P R OW P R IY AH T N AH S
appropriation,0.16,AH P R OW P R IY EY SH IH N
approval,8.39,AH P R UW V AH L
approve,11.37,AH P R UW V
approximate,1.25,AH P R AA K S IH M AH T
approximately,7.45,AH P R AA K S AH M AH T L IY
approximation,0.06,AH P R AA K S IH M EY SH IH N
apricot,0.63,AE P R AH K AA T
apron,2.67,EY P R AH N
apropos,0.33,AE P R AH P OW
apt,1.75,AE P T
aptitude,1.08,AE P T IH T UW D
aptly,0.39,AE P T L IY
aqueduct,0.33,AE K W AH D AH K T
aqueous,0.1,EY K W IY AH S
arabesque,0.1,AE R AH B EH S K
arable,0.02,AE R AH B AH L
arbiter,0.2,AA R B AH T AH R
arbitrary,1.02,AA R B AH T R EH R IY
arbitrate,0.04,AA R B AH T R EY T
arbitration,0.45,AA R B AH T R EY SH IH N
arboreal,0.12,AA R B OW R IY AH L
arc,4.84,AA R K
arcade,2.18,AA R K EY D
arch,3.69,AA R CH
archaeological,0.94,AA R K IY AH L AA JH IH K AH L
archaeologist,1.12,AA R K IY AA L AH JH IH S T
archaeology,0.76,AA R K IY AA L AH JH IY
archaic,0.69,AA R K EY IH K
archaism,0.04,AA R K IY IH Z AH M
archangel,0.43,AA R K EY N JH AH L
archbishop,3.69,AA R CH B IH SH AH P
archdiocese,0.67,AA R CH D AY AH S IY S
archenemy,0.25,AA R CH EH N AH M IY
archeological,0.29,AA R K IY AH L AA JH IH K AH L
archery,0.78,AA R CH AH R IY
archipelago,0.14,AA R K AH P EH L AH G OW
architect,6.55,AA R K IH T EH K T
architectonic,0.02,AA R K AH T EH K T AA N IH K
architectural,1.27,AA R K IH T EH K CH AH R AH L
architecture,3.18,AA R K IH T EH K CH AH R
archive,1.31,AA R K AY V
ardent,0.59,AA R D AH N T
ardor,0.14,AA R D AH R
arduous,0.67,AA R JH UW AH S
area,74.92,AE R IY AH
arena,3.63,AH R IY N AH
argon,0.18,AA R G AA N
argot,0.02,AA R G OW
argue,19.75,AA R G Y UW
argument,17,AA R G Y AH M AH N T
arid,0.31,AE R AH D
aridity,0.02,AE R IH D IH T IY
arise,2.96,AH R AY Z
aristocracy,0.63,AE R IH S T AA K R IH S IY
aristocrat,1.35,AH R IH S T IH K R AE T
aristocratic,0.73,AH R IH S T IH K R AE T IH K
arithmetic,1.53,AH R IH TH M AH T IH K
arithmetical,0.04,AE R IH TH M EH T IH K AH L
arm,65.41,AA R M
armada,1.08,AA R M AA D AH
armadillo,3.02,AA R M AH D IH L OW
armament,0.49,AA R M AH M AH N T
armchair,0.41,AA R M CH EH R
armful,0.24,AA R M F UH L
armistice,0.39,AA R M AH S T IH S
armload,0.08,AA R M L OW D
armoire,0.16,AA R M W AA R
armor,7.29,AA R M AH R
armory,1.86,AA R M AH R IY
armpit,1.25,AA R M P IH T
army,85.69,AA R M IY
aroma,1.35,AH R OW M AH
aromatic,0.27,AE R AH M AE T IH K
around,736.73,AH R AW N D
arousal,0.37,AH R AW Z AH L
arouse,1.22,AH R AW Z
arpeggio,0.02,AA R P EH JH IY OW
arraign,0.14,AH R EY N
arrange,15.51,AH R EY N JH
arrangement,9.45,AH R EY N JH M AH N T
arranger,0.22,AH R EY N JH AH R
array,2.12,AH R EY
arrest,59.55,AH R EH S T
arresting,3.76,AH R EH S T IH NG
arrival,8.27,AH R AY V AH L
arrive,18.69,AH R AY V
arrogance,2.82,AE R AH G AH N S
arrogant,5.22,AE R AH G IH N T
arrow,7.84,AE R OW
arrowhead,0.41,AE R OW HH EH D
arroyo,0.57,AH R OY AH
arsenal,2,AA R S N AH L
arsenic,1.24,AA R S AH N IH K
arson,3,AA R S AH N
art,70.8,AA R T
arterial,1.33,AA R T IH R IY AH L
arteriosclerosis,0.02,AA R T IH R IY OW S K L AH R OW S IH S
artery,5.31,AA R T AH R IY
artful,0.18,AA R T F AH L
arthritis,1.94,AA R TH R AY T IH S
article,19.57,AA R T IH K AH L
articulate,1.67,AA R T IH K Y UW L AH T
articulation,0.16,AA R T IH K Y UH L EY SH IH N
artifact,1.1,AA R T AH F AE K T
artifice,0.06,AA R T IH F AH S
artificial,4.82,AA R T IH F IH SH AH L
artificiality,0.1,AA R T AH F IH SH IY AE L IH T IY
artillery,5.49,AA R T IH L AH R IY
artisan,0.1,AA R T IH Z IH N
artist,28.63,AA R T IH S T
artistic,4.92,AA R T IH S T IH K
artistry,0.47,AA R T IH S T R IY
artless,0.06,AA R T L AH S
arty,1.08,AA R T IY
as,2217.02,AE Z
asbestos,1.29,AE S B EH S T AH S
ascend,0.92,AH S EH N D
ascendancy,0.12,AH S EH N D AH N S IY
ascent,0.31,AH S EH N T
ascertain,0.96,AE S AH R T EY N
ascertainable,0.02,AE S AH R T EY N AH B AH L
ascetic,0.1,AH S EH T IH K
ascribe,0.1,AH S K R AY B
aseptic,0.04,EY S EH P T IH K
ash,9.2,AE SH
ashamed,27.37,AH SH EY M D
ashen,0.18,AE SH IH N
ashtray,3.25,AE SH T R EY
aside,23.76,AH S AY D
asinine,0.96,AE S AH N AY N
ask,483.14,AE S K
asleep,49.82,AH S L IY P
asparagus,0.98,AH S P AE R AH G IH S
aspect,3.86,AE S P EH K T
aspen,1.88,AE S P AH N
asphalt,0.96,AE S F AO L T
aspirant,0.02,AE S P AH R AH N T
aspiration,0.57,AE S P AH R EY SH IH N
aspire,1.08,AH S P AY R
aspirin,7.75,AE S P AH R IH N
ass,226.37,AE S
assail,0.1,AH S EY L
assailant,1.47,AH S EY L AH N T
assassin,5.92,AH S AE S AH N
assassinate,1.88,AH S AE S AH N EY T
assassination,5.51,AH S AE S AH N EY SH AH N
assault,17.57,AH S AO L T
assay,0.16,AE S EY
assemblage,0.12,AH S EH M B L IH JH
assemble,3.2,AH S EH M B AH L
assembly,4.8,AH S EH M B L IY
assent,0.08,AH S EH N T
assert,0.84,AH S AH R T
assertion,0.27,AH S AH R SH IH N
assertive,0.45,AH S AH R T IH V
assertiveness,0.18,AH S AH R T IH V N EH S
assess,1.63,AH S EH S
assessment,3.1,AH S EH S M AH N T
assessor,0.22,AH S EH S AH R
asset,3.78,AE S EH T
assign,2.71,AH S AY N
assignment,17.88,AH S AY N M AH N T
assimilate,0.51,AH S IH M AH L EY T
assimilation,0.2,AH S IH M AH L EY SH AH N
assist,7.84,AH S IH S T
assistance,10.94,AH S IH S T AH N S
assistant,32.22,AH S IH S T IH N T
associate,8.98,AH S OW S IY EY T
association,8.12,AH S OW S IY EY SH IH N
assortment,0.73,AH S AO R T M AH N T
assuage,0.12,AH S W EY JH
assume,33.47,AH S UW M
assumption,3.33,AH S AH M SH IH N
assurance,2.04,AH SH UH R AH N S
assure,20.02,AH SH UH R
aster,0.2,AE S T AH R
asterisk,0.45,AE S T AH R IH S K
asteroid,1.69,AE S T AH R OY D
asthma,3.86,AE Z M AH
astonish,0.45,AH S T AA N IH SH
astonishing,1.71,AH S T AA N IH SH IH NG
astonishingly,0.25,AH S T AA N IH SH IH NG L IY
astonishment,0.27,AH S T AA N IH SH M AH N T
astound,0.43,AH S T AW N D
astounding,1.29,AH S T AW N D IH NG
astral,0.96,AE S T R AH L
astride,0.16,AH S T R AY D
astringent,0.12,AH S T R IH N JH IH N T
astronaut,3.96,AE S T R AH N AO T
astronomer,0.71,AH S T R AA N AH M AH R
astronomical,0.73,AE S T R AH N AA M IH K AH L
astronomically,0.06,AE S T R AH N AA M IH K AH L L IY
astronomy,1.31,AH S T R AA N AH M IY
astrophysics,0.35,AE S T R AH F IH Z IH K S
astute,1,AH S T UW T
astuteness,0.02,AH S T UW T N EH S
asylum,4.59,AH S AY L AH M
asymmetric,0.04,EY S AH M EH T R IH K
asymmetry,0.06,EY S IH M IH T R IY
at,3217.1,AE T
atavistic,0.1,AE T AH V IH S T IH K
atheist,1.08,EY TH IY IH S T
atheistic,0.04,EY TH IY IH S T IH K
athlete,4.61,AE TH L IY T
athletic,3.86,AE TH L EH T IH K
athleticism,0.22,AE TH L EH T IH S IH Z AH M
athletics,0.63,AE TH L EH T IH K S
atlas,1.02,AE T L AH S
atmosphere,9.67,AE T M AH S F IH R
atmospheric,0.92,AE T M AH S F IH R IH K
atom,2.75,AE T AH M
atomic,4.88,AH T AA M IH K
atone,0.84,AH T OW N
atonement,0.35,AH T OW N M AH N T
atop,1.02,AH T AA P
atrociously,0.12,AH T R OW SH AH S L IY
atrocity,0.63,AH T R AA S IH T IY
atrophy,0.41,AE T R AH F IY
attach,2.47,AH T AE CH
attachment,1.16,AH T AE CH M AH N T
attack,75.55,AH T AE K
attacker,1.43,AH T AE K AH R
attain,0.92,AH T EY N
attainment,0.06,AH T EY N M AH N T
attempt,19.12,AH T EH M P T
attend,14.02,AH T EH N D
attendance,2.65,AH T EH N D IH N S
attendant,3.1,AH T EH N D AH N T
attention,98.67,AH T EH N CH IH N
attentive,1.29,AH T EH N T IH V
attest,0.43,AH T EH S T
attic,7.84,AE T IH K
attire,1.49,AH T AY R
attitude,26.08,AE T IH T UW D
attorney,40.39,AH T AH R N IY
attract,5.69,AH T R AE K T
attraction,6.82,AH T R AE K SH IH N
attractive,24.63,AH T R AE K T IH V
attributable,0.1,AH T R IH B Y UW T AH B AH L
attribute,0.88,AE T R AH B Y UW T
attrition,0.18,AH T R IH SH IH N
attune,0.02,AH T UW N
atypical,0.37,EY T IH P IH K AH L
auburn,0.57,AO B AH R N
auction,8.9,AO K SH IH N
auctioneer,0.47,AO K SH IH N IH R
audacity,0.94,AO D AE S IH T IY
audible,0.71,AO D IH B AH L
audience,25.37,AO D IY AH N S
audio,5.57,AO D IY OW
audit,1.12,AO D IH T
audition,13.82,AO D IH SH IH N
auditor,0.47,AO D IH T AH R
auditorium,1.57,AO D IH T OW R IY AH M
augment,0.37,AO G M EH N T
augur,0.02,AO G AH R
august,10.2,AO G AH S T
aunt,55.2,AE N T
aura,1.82,AO R AH
aural,0.08,AO R AH L
auspicious,0.51,AO S P IH SH IH S
austere,0.22,AO S T IH R
austerity,0.1,AO S T EH R AH T IY
authentic,4.51,AO TH EH N T IH K
authenticate,0.61,AO TH EH N T IH K EY T
authentication,0.27,AO TH EH N T AH K EY SH AH N
authenticity,1.16,AO TH EH N T IH S IH T IY
author,7.94,AO TH AH R
authoritarian,0.06,AO TH OW R AH T EH R IY AH N
authoritarianism,0.02,AH TH AO R AH T EH R IY AH N IH Z AH M
authoritative,0.2,AO TH OW R AH T EY T IH V
authority,21.22,AO TH OW R IH T IY
authorization,3.61,AO TH AH R IH Z EY SH IH N
authorize,2.06,AO TH AH R AY Z
authorship,0.1,AO TH AH R SH IH P
autism,0.71,AO T IH Z AH M
autistic,1.14,AO T IH S T IH K
auto,7.67,AO T OW
autobiographical,0.43,AO T AH B AY AH G R AE F IH K AH L
autobiography,0.8,AO T AH B AY AA G R AH F IY
autocracy,0.04,AO T AA K R IH S IY
autocrat,0.02,AO T IH K R AE T
autocratic,0.08,AO T IH K R AE T IH K
autograph,8.16,AO T IH G R AE F
automate,0.08,AO T AH M EY T
automatic,6.98,AO T AH M AE T IH K
automation,0.18,AO T AH M EY SH IH N
automaton,0.22,AO T AA M AH T IH N
automobile,5.71,AO T AH M OW B IY L
automotive,0.65,AO T AH M OW T IH V
autonomic,0.18,AO T AH N AA M IH K
autonomy,0.53,AO T AA N AH M IY
autopsy,9.59,AO T AA P S IY
autumn,3.78,AO T AH M
autumnal,0.16,AO T AH M N AH L
aux,0.24,OW
auxiliary,2.14,AO G Z IH L Y AH R IY
avail,0.84,AH V EY L
availability,0.59,AH V EY L AH B IH L IH T IY
available,25.94,AH V EY L IH B AH L
avalanche,3.39,AE V AH L AE N CH
avant,0.08,AH V AA N T
avarice,0.49,AE V AH R AH S
avaricious,0.08,AE V AH R IH SH IH S
avenge,3.02,AH V EH N JH
avenue,16.88,AE V AH N UW
average,16.65,AE V R IH JH
averaging,0.27,AE V R IH JH IH NG
aversion,1.33,AH V AH R ZH IH N
avert,0.59,AH V AH R T
aviary,0.16,EY V IY EH R IY
aviation,1.43,EY V IY EY SH IH N
aviator,0.55,EY V IY EY T AH R
avid,0.49,AE V AH D
avocado,1.22,AE V AH K AA D OW
avocation,0.18,AE V AH K EY SH IH N
avoid,24.29,AH V OY D
avoidance,0.51,AH V OY D AH N S
avow,0.04,AH V AW
await,3.55,AH W EY T
awake,26.71,AH W EY K
awaken,2.45,AH W EY K IH N
awakening,1.24,AH W EY K AH N IH NG
award,12.88,AH W AO R D
awarding,0.18,AH W AO R D IH NG
aware,35.65,AH W AE R
awareness,2.25,AH W AE R N EH S
awash,0.31,AH W AO SH
away,730.9,AH W EY
awe,2.63,AO
awesome,31.37,AO S AH M
awful,63.41,AO F AH L
awfully,20.29,AO F AH L L IY
awfulness,0.1,AO F AH L N AH S
awkward,14.31,AO K W AH R D
awkwardness,0.63,AO K W AH R D N AH S
awning,0.47,AO N IH NG
awry,0.55,AH R AY
axe,4.88,AE K S
axial,0.14,AE K S IY AH L
axiom,0.14,AE K S IY AH M
axiomatic,0.04,AE K S IY AH M AE T IH K
axis,1.59,AE K S IH S
axle,1.24,AE K S AH L
aye,43.84,AY
azalea,0.12,AH Z EY L Y AH
b,84.1,B IY
babbit,0.18,B AE B IH T
babble,0.86,B AE B AH L
babe,35.57,B EY B
babel,0.24,B AE B AH L
baby,509.37,B EY B IY
babyhood,0.02,B EY B IY HH UH D
bachelor,9.88,B AE CH L AH R
back,2009.16,B AE K
backbend,0.04,B AE K B EH N D
backbone,1.65,B AE K B OW N
backdrop,0.47,B AE K D R AA P
backer,1.06,B AE K AH R
background,17.63,B AE K G R AW N D
backing,6.35,B AE K IH NG
backlash,0.14,B AE K L AE SH
backlog,0.33,B AE K L AO G
backpack,3.65,B AE K P AE K
backside,1.67,B AE K S AY D
backward,3.12,B AE K W AH R D
backwater,0.61,B AE K W AO T AH R
backwoods,0.53,B AE K W UH D Z
backyard,7.24,B AE K Y AA R D
bacon,11.86,B EY K IH N
bacterial,0.73,B AE K T IH R IY AH L
bacterium,0.18,B AE K T IH R IY AH M
bad,545.18,B AE D
badge,15.25,B AE JH
badger,1.75,B AE JH AH R
badinage,0.06,B AE D AH N AA ZH
badly,26.2,B AE D L IY
badminton,0.37,B AE D M IH N T AH N
badness,0.57,B AE D N AH S
baffle,0.16,B AE F AH L
baffling,0.29,B AE F L IH NG
bag,94.04,B AE G
bagatelle,0.04,B AE G AH T EH L
baggage,6.24,B AE G IH JH
baggy,0.94,B AE G IY
bagpipe,0.29,B AE G P AY P
bail,17.35,B EY L
bailey,7.73,B EY L IY
bailiff,2.16,B EY L AH F
bailing,1.41,B EY L IH NG
bait,9.73,B EY T
bake,6.33,B EY K
baker,13.69,B EY K AH R
bakery,3.51,B EY K AH R IY
baking,3.47,B EY K IH NG
baklava,0.29,B AH K L AH V AH
balance,14.98,B AE L IH N S
balancing,0.8,B AE L AH N S IH NG
balcony,7.31,B AE L K IH N IY
bald,9.73,B AO L D
balding,0.55,B AO L D IH NG
baldness,0.24,B AO L D N AH S
bale,2.04,B EY L
baleful,0.1,B EY L F AH L
balk,0.06,B AO K
ball,104.96,B AO L
ballad,1.41,B AE L AH D
ballast,1.18,B AE L IH S T
ballerina,2.31,B AE L AH R IY N AH
ballet,10.25,B AE L EY
ballistic,1.16,B AH L IH S T IH K
ballistics,2.35,B AH L IH S T IH K S
balloon,8.67,B AH L UW N
ballot,1.35,B AE L IH T
ballplayer,0.63,B AO L P L EY AH R
ballroom,4.31,B AO L R UW M
ballyhoo,0.1,B AE L IY HH UW
balmy,0.57,B AA M IY
balsam,0.16,B AO L S AH M
ban,3.14,B AE N
banal,0.27,B IH N AE L
banana,10.73,B IH N AE N AH
band,53.41,B AE N D
bandage,2.86,B AE N D IH JH
bandit,3.75,B AE N D IH T
bandoleer,0.06,B AE N D AH L IH R
bandstand,0.8,B AE N D S T AE N D
bandwagon,0.47,B AE N D W AE G IH N
bandwidth,0.49,B AE N D W IH D TH
baneful,0.02,B EY N F AH L
bang,19.98,B AE NG
banging,8.55,B AE NG IH NG
bangle,0.1,B AE NG G AH L
banish,1.35,B AE N IH SH
banishment,0.2,B AE N IH SH M AH N T
banister,1.31,B AE N IH S T AH R
banjo,1.63,B AE N JH OW
bank,84.98,B AE NG K
banker,4.76,B AE NG K AH R
bankrupt,2.8,B AE NG K R AH P T
bankruptcy,2.37,B AE NG K R AH P T S IY
banner,5.92,B AE N AH R
banning,1.04,B AE N IH NG
banquet,5.16,B AE NG K W AH T
banshee,1.12,B AE N SH IY
banter,1.37,B AE N T AH R
baptism,1.2,B AE P T IH Z AH M
baptismal,0.12,B AE P T IH Z M AH L
baptist,2.31,B AE P T IH S T
baptize,0.73,B AE P T AY Z
bar,85.98,B AA R
barb,2.31,B AA R B
barbarian,1.8,B AA R B EH R IY AH N
barbaric,1.41,B AA R B AE R IH K
barbarous,0.22,B AA R B AH R AH S
barbecue,8.94,B AA R B IH K Y UW
barbed,1.31,B AA R B D
barbell,0.35,B AA R B EH L
barber,5.47,B AA R B AH R
barbiturate,0.04,B AA R B IH CH AH R IH T
bard,0.8,B AA R D
bare,8.33,B AE R
barefoot,2.37,B AE R F UH T
barefooted,0.18,B AE R F UH T IH D
barely,29.06,B AE R L IY
barest,0.1,B EH R AH S T
bargain,12,B AA R G IH N
bargaining,2.08,B AA R G IH N IH NG
barge,3.88,B AA R JH
baritone,0.41,B AE R AH T OW N
barium,0.45,B AE R IY AH M
bark,5.49,B AA R K
barkeep,0.98,B AA R K IY P
barking,9,B AA R K IH NG
barley,0.9,B AA R L IY
barn,13.59,B AA R N
barnstormer,0.04,B AA R N S T AO R M AH R
barnyard,0.88,B AA R N Y AA R D
barometric,0.24,B AE R AH M EH T R IH K
baron,13.47,B AE R AH N
baroness,2.63,B AE R AH N IH S
baronial,0.06,B AH R OW N IY AH L
barony,0.04,B AE R AH N IY
baroque,0.31,B AH R OW K
barrack,0.35,B AE R AH K
barrage,1.04,B AH R AA JH
barrel,10.63,B AE R AH L
barren,1.47,B AE R AH N
barricade,1.47,B AE R AH K EY D
barrier,3.39,B AE R IY AH R
bartender,9.76,B AA R T EH N D AH R
base,35.37,B EY S
baseball,25.25,B EY S B AO L
baseless,0.33,B EY S L IH S
baseline,0.75,B EY S L AY N
baseman,0.59,B EY S M AH N
basement,21.06,B EY S M AH N T
baser,0.14,B EY S AH R
bashful,1.24,B AE SH F AH L
basic,15.57,B EY S IH K
basically,26.02,B EY S IH K L IY
basics,2.24,B EY S IH K S
basin,1.88,B EY S AH N
basis,11.94,B EY S IH S
bask,0.57,B AE S K
basket,13.18,B AE S K IH T
basketball,21.39,B AE S K IH T B AO L
basophilic,0.02,B EY S AH F IH L IH K
bass,7.55,B AE S
bassinet,0.35,B AE S AH N EH T
basso,0.12,B AE S OW
bastard,65.65,B AE S T AH R D
baste,0.35,B EY S T
bastion,0.35,B AE S CH IH N
bat,20.63,B AE T
batch,4.16,B AE CH
bath,31.12,B AE TH
bathe,2.51,B EY DH
bather,0.06,B AE DH AH R
bathrobe,1.67,B AE TH R OW B
bathroom,61.67,B AE TH R UW M
bathtub,6.1,B AE TH T AH B
baton,2.84,B AH T AA N
battalion,5.84,B AH T AE L Y AH N
batten,0.43,B AE T AH N
batter,3.98,B AE T AH R
battery,12.41,B AE T AH R IY
battle,42.25,B AE T AH L
battlefield,3.24,B AE T AH L F IY L D
battlefront,0.08,B AE T AH L F R AH N T
battleground,0.47,B AE T AH L G R AW N D
battlement,0.16,B AE T AH L M EH N T
bauble,0.43,B AO B AH L
bawdy,0.18,B AO D IY
bawl,0.55,B AO L
bay,24.24,B EY
baying,0.25,B EY IH NG
bayonet,1.57,B EY AH N EH T
bazaar,1.14,B AH Z AA R
be,5746.76,B IY
beach,56.63,B IY CH
beachhead,0.63,B IY CH HH EH D
beacon,3.86,B IY K IH N
bead,1.12,B IY D
beadle,0.02,B IY D AH L
beady,0.71,B IY D IY
beaker,0.43,B IY K AH R
beam,8.73,B IY M
bean,6.84,B IY N
bear,57.41,B AE R
beard,12.61,B IH R D
bearded,1.27,B IH R D IH D
beardless,0.16,B IH R D L IH S
bearer,1.8,B AE R AH R
bearing,9.53,B AE R IH NG
bearish,0.04,B AE R IH SH
beast,24.55,B IY S T
beat,131.69,B IY T
beatific,0.06,B IY AH T IH F IH K
beating,22.75,B IY T IH NG
beatnik,0.63,B IY T N IH K
beau,5.84,B OW
beauteous,0.27,B Y UW T IY AH S
beautiful,279.73,B Y UW T IH F AH L
beautifully,7,B Y UW T AH F AH L L IY
beautify,0.16,B Y UW T IH F AY
beauty,48.24,B Y UW T IY
beaver,4.82,B IY V AH R
bebop,0.41,B IY B AA P
because,1071.02,B AH K AO Z
beckon,0.2,B EH K IH N
beckoning,0.31,B EH K AH N IH NG
become,115.57,B AH K AH M
becoming,22.88,B IH K AH M IH NG
bed,187.12,B EH D
bedbug,0.29,B EH D B AH G
bedding,0.75,B EH D IH NG
bedlam,1.22,B EH D L AH M
bedpost,0.31,B EH D P OW S T
bedraggled,0.04,B IH D R AE G AH L D
bedridden,0.33,B EH D R IH D AH N
bedroom,36.71,B EH D R UW M
bedside,1.92,B EH D S AY D
bedspread,0.45,B EH D S P R EH D
bedtime,6.2,B EH D T AY M
bee,10.35,B IY
beech,0.35,B IY CH
beef,19.71,B IY F
beefsteak,0.73,B IY F S T EY K
beefy,0.31,B IY F IY
beehive,0.86,B IY HH AY V
beep,6.51,B IY P
beer,75.49,B IH R
beet,0.27,B IY T
beetle,2.06,B IY T AH L
befall,0.59,B AH F AO L
before,794.14,B AH F OW R
befoul,0.04,B AH F AW L
beg,50.98,B EH G
beget,0.31,B AH G EH T
beggar,2.47,B EH G AH R
beggary,0.02,B EH G AH R IY
begging,15.02,B EH G IH NG
begin,56.98,B AH G IH N
beginner,1.94,B IH G IH N AH R
beginning,63.12,B IH G IH N IH NG
begrudge,0.47,B IH G R AH JH
beguile,0.2,B IH G AY L
beguiling,0.16,B IH G AY L IH NG
behalf,12.16,B IH HH AE F
behave,16.24,B IH HH EY V
behavior,22.39,B IH HH EY V Y AH R
behavioral,1.55,B IY HH EY V Y AH R AH L
behead,0.18,B IH HH EH D
behind,187.86,B IH HH AY N D
behold,5.94,B IH HH OW L D
behoove,0.29,B IH HH UW V
beige,1.35,B EY ZH
being,485.9,B IY IH NG
bel,1.18,B EH L
belabor,0.06,B AH L EY B AH R
belaboring,0.02,B IH L EY B AH R IH NG
belated,0.43,B IH L EY T IH D
belch,0.73,B EH L CH
belching,0.31,B EH L CH IH NG
belfry,0.25,B EH L F R IY
belie,0.18,B AH L AY
belief,7.61,B AH L IY F
believable,1.41,B AH L IY V AH B AH L
believe,625.14,B AH L IY V
believer,3.41,B AH L IY V AH R
belittle,0.73,B IH L IH T AH L
bell,39.33,B EH L
bellboy,1.24,B EH L B OY
belle,8.1,B EH L
bellhop,0.67,B EH L HH AA P
belligerence,0.02,B AH L IH JH AH R AH N S
belligerent,0.65,B AH L IH JH AH R AH N T
bellow,0.45,B EH L OW
bellwether,0.18,B EH L W EH DH AH R
belly,15.57,B EH L IY
belong,44.37,B AH L AO NG
belonging,2.06,B IH L AO NG IH NG
beloved,12.76,B IH L AH V IH D
below,28.04,B IH L OW
belt,24.35,B EH L T
belting,0.1,B EH L T IH NG
bemoan,0.02,B IH M OW N
bench,9.67,B EH N CH
benchmark,0.06,B EH N CH M AA R K
bend,15.06,B EH N D
bending,2.39,B EH N D IH NG
beneath,11.63,B IH N IY TH
benediction,0.25,B EH N AH D IH K SH IH N
benefactor,1.69,B EH N AH F AE K T AH R
beneficence,0.02,B AH N EH F AH S IH N S
beneficent,0.1,B AH N EH F IH S AH N T
beneficial,0.78,B EH N AH F IH SH AH L
beneficiary,1.35,B EH N AH F IH SH IY EH R IY
benefit,14.35,B EH N AH F IH T
benevolence,0.41,B IH N EH V AH L AH N S
benevolent,0.73,B AH N EH V AH L AH N T
benighted,0.1,B IY N AY T IH D
benign,1.14,B IH N AY N
bent,7.22,B EH N T
benzene,0.43,B EH N Z IY N
bequeath,0.84,B IH K W IY TH
bequest,0.2,B IH K W EH S T
berate,0.25,B IH R EY T
bereavement,0.45,B AH R IY V M AH N T
bereft,0.29,B IH R EH F T
berg,1.55,B AH R G
beriberi,0.12,B EH R IY B EH R IY
berry,3.49,B EH R IY
berth,0.78,B AH R TH
beryllium,0.49,B AH R IH L IY AH M
beseech,1.55,B IH S IY CH
beset,0.27,B IH S EH T
beside,15.18,B IH S AY D
besides,84.86,B IH S AY D Z
besiege,0.27,B IH S IY JH
besmirch,0.29,B IH S M AH R CH
bespeak,0.14,B IH S P IY K
bespectacled,0.02,B IH S P EH K T AH K AH L D
best,404.37,B EH S T
bestial,0.14,B EH S CH AH L
bestow,1.1,B IH S T OW
bestseller,0.69,B EH S EH L AH R
bet,171.82,B EH T
bethink,0.08,B IY TH IH NG K
betide,0.18,B IH T AY D
betray,9.14,B IH T R EY
betrayal,4.24,B IH T R EY AH L
betrothal,0.22,B IH T R OW DH AH L
better,794,B EH T AH R
betterment,0.25,B EH T AH R M AH N T
betting,8.43,B EH T IH NG
betty,24.43,B EH T IY
between,175.14,B AH T W IY N
bevel,0.08,B EH V AH L
beveling,0.06,B EH V AH L IH NG
beverage,2.33,B EH V R IH JH
bevy,0.2,B EH V IY
beware,5.73,B IH W AE R
bewilder,0.04,B IH W IH L D AH R
bewilderment,0.08,B IH W IH L D AH R M AH N T
bewitch,0.12,B IH W IH CH
beyond,43.14,B IY AA N D
bias,1.61,B AY AH S
bib,0.49,B IH B
bible,18.33,B AY B AH L
bibliography,0.06,B IH B L IY AA G R AH F IY
bicarbonate,0.73,B AY K AA R B AH N IH T
biceps,0.94,B AY S EH P S
bicker,0.49,B IH K AH R
bickering,1.37,B IH K AH R IH NG
bicycle,6.61,B AY S IH K AH L
bid,12.59,B IH D
bidder,1.73,B IH D AH R
bidding,4.59,B IH D IH NG
biddy,0.24,B IH D IY
bide,0.55,B AY D
biennial,0.02,B AY EH N IY AH L
bifocal,0.02,B AY F OW K AH L
big,682.82,B IH G
bigger,54.22,B IH G AH R
biggest,40.88,B IH G AH S T
bigot,0.61,B IH G IH T
bigoted,0.2,B IH G AH T IH D
bigotry,0.67,B IH G AH T R IY
bikini,3.69,B AH K IY N IY
bilateral,0.59,B AY L AE T AH R AH L
